Date,State,Confirmed,Recovered,Deaths,Vaccinations
2020-01-17,Karnataka,30124,25449,419,40247
2020-01-17,Tamil Nadu,30222,24759,863,31646
2020-01-17,Gujarat,39649,34620,1403,73385
2020-01-18,Maharashtra,41158,30994,1948,14823
2020-01-18,Delhi,42975,37892,709,56991
2020-01-18,Uttar Pradesh,39646,37221,1771,93223
2020-01-18,Karnataka,1851,1601,47,40195
2020-01-18,Tamil Nadu,27144,22845,863,43304
2020-01-18,Gujarat,47247,43990,842,91027
2020-01-19,Maharashtra,39494,32600,456,32350
2020-01-19,Delhi,28472,25087,723,20305
2020-01-19,Uttar Pradesh,10817,8849,220,25358
2020-01-19,Karnataka,4267,3791,102,16338
2020-01-19,Tamil Nadu,1412,1070,37,94084
2020-01-19,Gujarat,28384,24398,764,40735
2020-01-20,Maharashtra,48295,41784,1896,22955
2020-01-20,Delhi,38841,31072,1290,93726
2020-01-20,Uttar Pradesh,8357,7206,163,25150
2020-01-20,Karnataka,6644,5966,129,60069
2020-01-20,Tamil Nadu,47352,40574,1414,5728
2020-01-20,Gujarat,1698,1307,20,68932
2020-01-21,Maharashtra,8400,7723,203,64163
2020-01-21,Delhi,18101,16025,530,65921
2020-01-21,Uttar Pradesh,6486,4972,88,94112
2020-01-21,Karnataka,32667,28894,1309,65566
2020-01-21,Tamil Nadu,2167,1967,29,26545
2020-01-21,Gujarat,22689,17277,725,14348
2020-01-22,Maharashtra,24714,22923,594,11801
2020-01-22,Delhi,38614,30064,1562,77592
2020-01-22,Uttar Pradesh,12516,11485,338,55343
2020-01-22,Karnataka,40081,33240,1830,88460
2020-01-22,Tamil Nadu,23556,18066,1165,18807
2020-01-22,Gujarat,43348,35724,1842,62854
2020-01-23,Maharashtra,41262,39083,1656,40909
2020-01-23,Delhi,24803,19016,1019,31790
2020-01-23,Uttar Pradesh,26289,24482,379,49482
2020-01-23,Karnataka,21652,16288,622,35355
2020-01-23,Tamil Nadu,14116,12909,561,44298
2020-01-23,Gujarat,43956,35054,1143,33016
2020-01-24,Maharashtra,24960,23056,472,72641
2020-01-24,Delhi,37395,35359,1205,25559
2020-01-24,Uttar Pradesh,28509,26653,1333,96362
2020-01-24,Karnataka,31354,29593,969,22640
2020-01-24,Tamil Nadu,39413,31881,1964,73866
2020-01-24,Gujarat,20087,18026,936,15975
2020-01-25,Maharashtra,12023,11157,339,71203
2020-01-25,Delhi,30703,24069,1101,89665
2020-01-25,Uttar Pradesh,41251,35753,540,9835
2020-01-25,Karnataka,21159,17787,238,43088
2020-01-25,Tamil Nadu,14216,11831,484,87844
2020-01-25,Gujarat,28532,26597,1224,10713
2020-01-26,Maharashtra,5804,5065,155,89791
2020-01-26,Delhi,24793,21329,411,6015
2020-01-26,Uttar Pradesh,28712,24292,1418,67292
2020-01-26,Karnataka,24833,20516,1211,77474
2020-01-26,Tamil Nadu,22168,20342,637,13702
2020-01-26,Gujarat,1384,1041,18,17763
2020-01-27,Maharashtra,19384,16609,775,85642
2020-01-27,Delhi,24574,22209,1174,37201
2020-01-27,Uttar Pradesh,14456,11539,263,39816
2020-01-27,Karnataka,46106,37112,843,75080
2020-01-27,Tamil Nadu,38744,34923,460,12239
2020-01-27,Gujarat,15489,13159,449,54922
2020-01-28,Maharashtra,29538,23971,1259,78963
2020-01-28,Delhi,42348,32509,1764,93464
2020-01-28,Uttar Pradesh,20198,15264,812,44764
2020-01-28,Karnataka,13173,11734,243,86317
2020-01-28,Tamil Nadu,14051,13293,482,78553
2020-01-28,Gujarat,7941,6836,108,80745
2020-01-29,Maharashtra,18715,16085,524,47318
2020-01-29,Delhi,5637,4929,250,44811
2020-01-29,Uttar Pradesh,20856,17694,423,97705
2020-01-29,Karnataka,8941,7586,206,41586
2020-01-29,Tamil Nadu,13015,10650,409,29214
2020-01-29,Gujarat,41118,35647,1069,27415
2020-01-30,Maharashtra,25071,19706,949,46240
2020-01-30,Delhi,19271,16279,707,80697
2020-01-30,Uttar Pradesh,29732,23442,345,92044
2020-01-30,Karnataka,22969,18506,392,84252
2020-01-30,Tamil Nadu,40749,31544,1158,23777
2020-01-30,Gujarat,28693,23610,864,86818
2020-01-31,Maharashtra,24624,18922,720,48221
2020-01-31,Delhi,11478,9783,186,57796
2020-01-31,Uttar Pradesh,5432,4374,229,84714
2020-01-31,Karnataka,23195,18367,575,13717
2020-01-31,Tamil Nadu,29699,24465,846,21748
2020-01-31,Gujarat,40577,30730,815,10126
2020-02-01,Maharashtra,6122,5687,186,43638
2020-02-01,Delhi,2531,1952,70,39674
2020-02-01,Uttar Pradesh,36854,28413,1455,15267
2020-02-01,Karnataka,26289,22681,1146,11229
2020-02-01,Tamil Nadu,48915,38967,1160,11168
2020-02-01,Gujarat,43563,35766,1566,31734
2020-02-02,Maharashtra,7371,6320,246,78479
2020-02-02,Delhi,13199,11038,199,65004
2020-02-02,Uttar Pradesh,20123,17691,660,80703
2020-02-02,Karnataka,11554,10945,395,63656
2020-02-02,Tamil Nadu,28285,22488,696,77303
2020-02-02,Gujarat,28139,25892,380,81125
2020-02-03,Maharashtra,14918,11354,651,29818
2020-02-03,Delhi,36358,30252,1792,43110
2020-02-03,Uttar Pradesh,17389,14425,848,92886
2020-02-03,Karnataka,42605,40262,1262,18234
2020-02-03,Tamil Nadu,39328,35147,1234,51514
2020-02-03,Gujarat,23700,21422,414,47101
2020-02-04,Maharashtra,27386,21632,1080,72584
2020-02-04,Delhi,40001,36143,539,6917
2020-02-04,Uttar Pradesh,21618,20243,493,52362
2020-02-04,Karnataka,21128,17406,595,87180
2020-02-04,Tamil Nadu,23422,20137,423,10287
2020-02-04,Gujarat,35387,28342,1318,24216
2020-02-05,Maharashtra,28534,24091,755,98789
2020-02-05,Delhi,43078,40316,1862,5235
2020-02-05,Uttar Pradesh,43929,34038,1723,75792
2020-02-05,Karnataka,20019,16532,942,41159
2020-02-05,Tamil Nadu,44925,34125,1853,46832
2020-02-05,Gujarat,31523,24674,522,24282
2020-02-06,Maharashtra,24930,21857,1154,21984
2020-02-06,Delhi,15060,13066,562,64207
2020-02-06,Uttar Pradesh,10510,9382,483,78340
2020-02-06,Karnataka,7565,6490,208,14184
2020-02-06,Tamil Nadu,20096,16500,515,23381
2020-02-06,Gujarat,37455,29806,1187,46157
2020-02-07,Maharashtra,28202,24692,659,92487
2020-02-07,Delhi,16374,15157,488,30053
2020-02-07,Uttar Pradesh,10446,9031,521,71656
2020-02-07,Karnataka,45028,36008,1790,72779
2020-02-07,Tamil Nadu,20029,17882,596,48872
2020-02-07,Gujarat,47197,43149,680,76907
2020-02-08,Maharashtra,7359,6408,221,25103
2020-02-08,Delhi,15382,12794,628,21478
2020-02-08,Uttar Pradesh,36442,32389,1155,76315
2020-02-08,Karnataka,13298,12524,315,17999
2020-02-08,Tamil Nadu,1814,1464,62,80993
2020-02-08,Gujarat,11380,8851,159,20328
2020-02-09,Maharashtra,27215,25158,1286,42219
2020-02-09,Delhi,16343,14534,766,5126
2020-02-09,Uttar Pradesh,28632,24774,981,91066
2020-02-09,Karnataka,40964,31577,1786,52882
2020-02-09,Tamil Nadu,14718,11400,286,6645
2020-02-09,Gujarat,48523,37602,2272,58173
2020-02-10,Maharashtra,38430,30570,1318,16694
2020-02-10,Delhi,10524,8598,443,18224
2020-02-10,Uttar Pradesh,41738,34627,1314,78509
2020-02-10,Karnataka,9577,8074,279,41368
2020-02-10,Tamil Nadu,7783,6186,218,84026
2020-02-10,Gujarat,46719,40436,776,24956
2020-02-11,Maharashtra,23359,18974,962,9757
2020-02-11,Delhi,20097,15125,734,75480
2020-02-11,Uttar Pradesh,47163,39701,1522,29917
2020-02-11,Karnataka,32195,27591,559,25806
2020-02-11,Tamil Nadu,10984,8918,284,7482
2020-02-11,Gujarat,25442,23151,609,7717
2020-02-12,Maharashtra,28952,21925,836,98607
2020-02-12,Delhi,24570,18750,1007,53302
2020-02-12,Uttar Pradesh,29865,25591,873,16485
2020-02-12,Karnataka,39565,35730,558,57487
2020-02-12,Tamil Nadu,13342,12531,332,80629
2020-02-12,Gujarat,48190,45577,2100,90382
2020-02-13,Maharashtra,16708,13894,535,60106
2020-02-13,Delhi,48063,37932,1452,79055
2020-02-13,Uttar Pradesh,32480,29556,556,29160
2020-02-13,Karnataka,21059,16797,294,39911
2020-02-13,Tamil Nadu,22591,20206,999,89458
2020-02-13,Gujarat,13175,10927,483,91925
2020-02-14,Maharashtra,48838,39793,658,9425
2020-02-14,Delhi,17032,13482,188,41220
2020-02-14,Uttar Pradesh,42874,37154,1151,13705
2020-02-14,Karnataka,43880,40083,1038,20358
2020-02-14,Tamil Nadu,35177,28937,399,19596
2020-02-14,Gujarat,34572,28759,1109,67516
2020-02-15,Maharashtra,8083,6417,395,22771
2020-02-15,Delhi,30975,23938,1010,72642
2020-02-15,Uttar Pradesh,25557,21575,441,33529
2020-02-15,Karnataka,36954,31502,1465,65774
2020-02-15,Tamil Nadu,24752,19253,1074,60961
2020-02-15,Gujarat,42401,39437,1596,79532
2020-02-16,Maharashtra,17458,15965,544,97201
2020-02-16,Delhi,39243,33341,497,27180
2020-02-16,Uttar Pradesh,32896,27944,1276,53756
2020-02-16,Karnataka,41809,32527,859,86182
2020-02-16,Tamil Nadu,18029,16161,361,51828
2020-02-16,Gujarat,48924,38408,2278,40737
2020-02-17,Maharashtra,36796,30416,1131,91145
2020-02-17,Delhi,36835,34688,640,26172
2020-02-17,Uttar Pradesh,12555,11352,159,58002
2020-02-17,Karnataka,25063,23386,973,33769
2020-02-17,Tamil Nadu,24150,22720,371,94399
2020-02-17,Gujarat,22792,18324,720,72298
2020-02-18,Maharashtra,32987,25079,984,50420
2020-02-18,Delhi,39890,32584,1628,6524
2020-02-18,Uttar Pradesh,35888,27455,1404,39008
2020-02-18,Karnataka,1060,940,29,18350
2020-02-18,Tamil Nadu,25354,23169,1064,80186
2020-02-18,Gujarat,20933,15721,295,96748
2020-02-19,Maharashtra,5090,4796,211,41408
2020-02-19,Delhi,29470,25175,396,49623
2020-02-19,Uttar Pradesh,25791,23255,917,16344
2020-02-19,Karnataka,2750,2460,97,75855
2020-02-19,Tamil Nadu,16896,15724,606,95600
2020-02-19,Gujarat,47617,36088,1820,75342
2020-02-20,Maharashtra,42360,33299,1385,99457
2020-02-20,Delhi,17774,13451,673,74768
2020-02-20,Uttar Pradesh,12122,11332,592,99934
2020-02-20,Karnataka,35268,29795,1568,30510
2020-02-20,Tamil Nadu,20426,16623,881,92312
2020-02-20,Gujarat,25077,21798,481,62132
2020-02-21,Maharashtra,14409,13357,449,25662
2020-02-21,Delhi,24510,18702,554,11640
2020-02-21,Uttar Pradesh,45547,41363,1036,32345
2020-02-21,Karnataka,49288,45699,1707,85765
2020-02-21,Tamil Nadu,45481,34332,2037,34430
2020-02-21,Gujarat,10996,9410,522,74346
2020-02-22,Maharashtra,31586,29993,758,34629
2020-02-22,Delhi,9436,7982,313,88691
2020-02-22,Uttar Pradesh,11616,10496,310,8430
2020-02-22,Karnataka,13676,12259,138,38933
2020-02-22,Tamil Nadu,25951,20954,567,45600
2020-02-22,Gujarat,26280,24494,310,9494
2020-02-23,Maharashtra,16152,13379,241,48001
2020-02-23,Delhi,2828,2565,38,42573
2020-02-23,Uttar Pradesh,1806,1672,86,34757
2020-02-23,Karnataka,35636,33777,1415,67211
2020-02-23,Tamil Nadu,49988,43985,1715,39157
2020-02-23,Gujarat,12593,9562,319,87856
2020-02-24,Maharashtra,28376,26714,1221,86412
2020-02-24,Delhi,9245,8725,419,81898
2020-02-24,Uttar Pradesh,19297,16499,393,89386
2020-02-24,Karnataka,26425,23497,426,33831
2020-02-24,Tamil Nadu,8906,7079,168,80758
2020-02-24,Gujarat,38443,33292,525,88560
2020-02-25,Maharashtra,47007,37752,713,70160
2020-02-25,Delhi,18602,17506,827,34192
2020-02-25,Uttar Pradesh,47542,41886,1522,55106
2020-02-25,Karnataka,16585,13793,413,85199
2020-02-25,Tamil Nadu,22754,20357,678,99661
2020-02-25,Gujarat,41996,33346,1567,90956
2020-02-26,Maharashtra,22452,20661,669,7396
2020-02-26,Delhi,19546,17883,467,35561
2020-02-26,Uttar Pradesh,7183,6199,148,91231
2020-02-26,Karnataka,8314,7679,164,70082
2020-02-26,Tamil Nadu,19088,15591,373,31292
2020-02-26,Gujarat,47249,36436,1793,58947
2020-02-27,Maharashtra,23534,21800,1140,73344
2020-02-27,Delhi,48638,36528,2081,82236
2020-02-27,Uttar Pradesh,37509,34948,376,53845
2020-02-27,Karnataka,27588,22118,489,65461
2020-02-27,Tamil Nadu,10882,10296,383,36966
2020-02-27,Gujarat,8009,7022,253,6007
2020-02-28,Maharashtra,6445,5198,69,92272
2020-02-28,Delhi,43207,39665,1109,96357
2020-02-28,Uttar Pradesh,27660,21312,1313,88807
2020-02-28,Karnataka,46539,35535,1025,55192
2020-02-28,Tamil Nadu,15859,12107,527,25953
2020-02-28,Gujarat,12383,9400,555,42567
2020-02-29,Maharashtra,25860,21701,928,26427
2020-02-29,Delhi,36196,29924,456,49064
2020-02-29,Uttar Pradesh,8813,7265,376,32082
2020-02-29,Karnataka,30241,22686,494,18025
2020-02-29,Tamil Nadu,37124,34854,522,86958
2020-02-29,Gujarat,4342,3946,163,28411
2020-03-01,Maharashtra,47766,42325,1728,27042
2020-03-01,Delhi,45413,35431,1239,58268
2020-03-01,Uttar Pradesh,40214,33536,1429,53901
2020-03-01,Karnataka,35450,28531,1749,12424
2020-03-01,Tamil Nadu,13857,12870,266,6980
2020-03-01,Gujarat,49290,37274,1777,31385
2020-03-02,Maharashtra,39158,33061,1242,26563
2020-03-02,Delhi,40341,31899,550,13711
2020-03-02,Uttar Pradesh,9782,8224,305,44110
2020-03-02,Karnataka,18343,14836,852,58625
2020-03-02,Tamil Nadu,16251,14777,475,16536
2020-03-02,Gujarat,29541,26206,803,70455
2020-03-03,Maharashtra,10208,7984,368,54268
2020-03-03,Delhi,36201,32925,811,90708
2020-03-03,Uttar Pradesh,37935,31976,1411,34009
2020-03-03,Karnataka,18773,17739,729,11154
2020-03-03,Tamil Nadu,22804,20555,1097,57648
2020-03-03,Gujarat,31087,27818,1242,80304
2020-03-04,Maharashtra,44408,34218,1458,79319
2020-03-04,Delhi,47389,41400,1805,79441
2020-03-04,Uttar Pradesh,10127,7615,233,54153
2020-03-04,Karnataka,7368,5655,177,93652
2020-03-04,Tamil Nadu,48219,39614,1103,86061
2020-03-04,Gujarat,24398,19278,920,73577
2020-03-05,Maharashtra,1105,865,15,76626
2020-03-05,Delhi,39850,37030,1346,31015
2020-03-05,Uttar Pradesh,34320,30606,1538,31289
2020-03-05,Karnataka,4389,3979,151,31630
2020-03-05,Tamil Nadu,34226,31794,1091,32961
2020-03-05,Gujarat,17405,14628,622,26288
2020-03-06,Maharashtra,30545,25588,1191,77715
2020-03-06,Delhi,11326,9967,330,88186
2020-03-06,Uttar Pradesh,27745,22634,799,75316
2020-03-06,Karnataka,19311,17850,528,97447
2020-03-06,Tamil Nadu,25363,21839,983,5661
2020-03-06,Gujarat,38412,36463,1881,65315
2020-03-07,Maharashtra,15025,12480,282,21309
2020-03-07,Delhi,47286,37901,1347,77541
2020-03-07,Uttar Pradesh,47804,42805,1898,79131
2020-03-07,Karnataka,48908,40064,1214,44443
2020-03-07,Tamil Nadu,34723,26320,1551,9703
2020-03-07,Gujarat,7563,5716,195,82539
2020-03-08,Maharashtra,44585,38768,1860,50350
2020-03-08,Delhi,13201,12520,281,91652
2020-03-08,Uttar Pradesh,49364,41621,2144,62056
2020-03-08,Karnataka,28490,25789,746,83301
2020-03-08,Tamil Nadu,47678,41790,1187,54153
2020-03-08,Gujarat,34142,28426,435,9648
2020-03-09,Maharashtra,36133,27803,946,75135
2020-03-09,Delhi,36046,29624,1215,50893
2020-03-09,Uttar Pradesh,36984,30630,1803,72649
2020-03-09,Karnataka,44006,38183,1493,17588
2020-03-09,Tamil Nadu,37142,29599,1684,38397
2020-03-09,Gujarat,17653,14407,493,81619
2020-03-10,Maharashtra,46917,36555,1312,84530
2020-03-10,Delhi,24499,21837,408,76635
2020-03-10,Uttar Pradesh,43267,32767,1707,76652
2020-03-10,Karnataka,16563,13994,724,31155
2020-03-10,Tamil Nadu,15135,13123,677,5619
2020-03-10,Gujarat,18658,14411,387,86537
2020-03-11,Maharashtra,1968,1685,93,32420
2020-03-11,Delhi,16360,12669,459,33404
2020-03-11,Uttar Pradesh,38946,31672,1179,38997
2020-03-11,Karnataka,26611,20747,1316,6239
2020-03-11,Tamil Nadu,39138,29392,1881,94393
2020-03-11,Gujarat,16398,13789,502,73785
2020-03-12,Maharashtra,10110,8930,157,27911
2020-03-12,Delhi,39525,32077,1509,48753
2020-03-12,Uttar Pradesh,18275,16167,891,28196
2020-03-12,Karnataka,41287,32902,2003,53320
2020-03-12,Tamil Nadu,48414,45786,1208,60409
2020-03-12,Gujarat,29625,25879,1325,99795
2020-03-13,Maharashtra,43823,39839,2048,36890
2020-03-13,Delhi,14598,12872,375,83916
2020-03-13,Uttar Pradesh,27984,21584,1016,22087
2020-03-13,Karnataka,41901,34091,1871,92128
2020-03-13,Tamil Nadu,46743,42091,636,90150
2020-03-13,Gujarat,1488,1148,53,34165
2020-03-14,Maharashtra,2667,2356,112,78297
2020-03-14,Delhi,32116,29211,880,8712
2020-03-14,Uttar Pradesh,2367,1915,85,56924
2020-03-14,Karnataka,4726,4140,162,14108
2020-03-14,Tamil Nadu,13178,10907,368,13927
2020-03-14,Gujarat,29144,24448,308,81743
2020-03-15,Maharashtra,26537,22362,668,98977
2020-03-15,Delhi,7471,6378,217,36348
2020-03-15,Uttar Pradesh,2177,1680,34,58551
2020-03-15,Karnataka,12556,10034,364,78770
2020-03-15,Tamil Nadu,26519,22803,1057,31987
2020-03-15,Gujarat,14178,12111,608,69106
2020-03-16,Maharashtra,42974,39937,552,44310
2020-03-16,Delhi,9906,8182,177,42650
2020-03-16,Uttar Pradesh,47881,37503,1661,62716
2020-03-16,Karnataka,29211,25823,1378,18467
2020-03-16,Tamil Nadu,32010,27726,434,69157
2020-03-16,Gujarat,43641,36221,2141,91365
2020-03-17,Maharashtra,35054,31065,604,77588
2020-03-17,Delhi,4654,3765,194,79172
2020-03-17,Uttar Pradesh,7441,6946,200,17149
2020-03-17,Karnataka,35566,32477,887,47668
2020-03-17,Tamil Nadu,14673,11334,148,70429
2020-03-17,Gujarat,24669,21043,832,57249
2020-03-18,Maharashtra,38384,33751,652,80388
2020-03-18,Delhi,32401,30133,782,39084
2020-03-18,Uttar Pradesh,46105,41328,2030,36910
2020-03-18,Karnataka,37041,33777,1506,70481
2020-03-18,Tamil Nadu,4040,3372,65,31160
2020-03-18,Gujarat,18633,15737,585,46621
2020-03-19,Maharashtra,12695,10314,243,45390
2020-03-19,Delhi,24711,21686,501,62784
2020-03-19,Uttar Pradesh,8421,6554,176,9358
2020-03-19,Karnataka,29482,24721,820,60754
2020-03-19,Tamil Nadu,45311,35146,641,22625
2020-03-19,Gujarat,34893,30206,731,59253
2020-03-20,Maharashtra,13323,10220,609,19210
2020-03-20,Delhi,17456,14220,332,73008
2020-03-20,Uttar Pradesh,7704,7059,283,73011
2020-03-20,Karnataka,37378,32819,779,39503
2020-03-20,Tamil Nadu,9258,7930,212,79069
2020-03-20,Gujarat,33581,25537,844,63576
2020-03-21,Maharashtra,10686,9008,132,49843
2020-03-21,Delhi,31137,29316,529,15526
2020-03-21,Uttar Pradesh,4374,3456,137,93733
2020-03-21,Karnataka,34400,31454,345,51479
2020-03-21,Tamil Nadu,43891,41531,1272,86437
2020-03-21,Gujarat,34004,26317,1665,34301
2020-03-22,Maharashtra,27116,24334,1104,23752
2020-03-22,Delhi,33376,29514,457,61273
2020-03-22,Uttar Pradesh,27342,25234,938,15699
2020-03-22,Karnataka,10715,9555,122,10782
2020-03-22,Tamil Nadu,23641,19346,596,40585
2020-03-22,Gujarat,31682,25276,962,43067
2020-03-23,Maharashtra,43685,36670,1486,95373
2020-03-23,Delhi,18826,17079,620,75971
2020-03-23,Uttar Pradesh,25819,20440,1219,17329
2020-03-23,Karnataka,26169,22913,967,50033
2020-03-23,Tamil Nadu,8629,7862,358,45461
2020-03-23,Gujarat,9264,7545,101,61154
2020-03-24,Maharashtra,21609,17173,1043,60249
2020-03-24,Delhi,49895,46728,1646,68740
2020-03-24,Uttar Pradesh,30984,28956,913,96245
2020-03-24,Karnataka,32055,28944,544,16138
2020-03-24,Tamil Nadu,36298,30117,575,53244
2020-03-24,Gujarat,49519,41875,1497,36822
2020-03-25,Maharashtra,47659,36506,1957,16871
2020-03-25,Delhi,29763,24178,900,57188
2020-03-25,Uttar Pradesh,36262,31844,675,91269
2020-03-25,Karnataka,38947,32051,991,84364
2020-03-25,Tamil Nadu,43913,36972,541,54841
2020-03-25,Gujarat,47332,41363,1036,42846
2020-03-26,Maharashtra,45936,35758,682,99397
2020-03-26,Delhi,29141,22444,1098,28291
2020-03-26,Uttar Pradesh,42568,36263,2122,28312
2020-03-26,Karnataka,44108,38508,981,17411
2020-03-26,Tamil Nadu,38285,31976,583,37371
2020-03-26,Gujarat,6693,5895,161,31715
2020-03-27,Maharashtra,28605,26188,1125,81373
2020-03-27,Delhi,4716,3547,125,94818
2020-03-27,Uttar Pradesh,7548,5689,153,28177
2020-03-27,Karnataka,25022,19452,786,65428
2020-03-27,Tamil Nadu,23740,21766,834,21052
2020-03-27,Gujarat,36153,27581,423,46424
2020-03-28,Maharashtra,45002,36144,1613,27420
2020-03-28,Delhi,30300,25683,484,42487
2020-03-28,Uttar Pradesh,29411,25891,1247,33380
2020-03-28,Karnataka,27035,24923,694,69041
2020-03-28,Tamil Nadu,44404,34485,625,8191
2020-03-28,Gujarat,34160,32061,1446,8631
2020-03-29,Maharashtra,7172,5779,338,33671
2020-03-29,Delhi,26364,24123,786,33602
2020-03-29,Uttar Pradesh,24253,21277,838,12099
2020-03-29,Karnataka,26431,24488,376,68936
2020-03-29,Tamil Nadu,23614,20923,275,65920
2020-03-29,Gujarat,29758,26581,383,94570
2020-03-30,Maharashtra,36479,27618,1106,99439
2020-03-30,Delhi,45857,38629,2277,75067
2020-03-30,Uttar Pradesh,46454,43595,1921,62906
2020-03-30,Karnataka,29138,24255,931,81295
2020-03-30,Tamil Nadu,6439,5375,85,44279
2020-03-30,Gujarat,45251,42073,1868,40144
2020-03-31,Maharashtra,32182,25460,478,11979
2020-03-31,Delhi,27189,20768,1315,66558
2020-03-31,Uttar Pradesh,21669,20134,495,90667
2020-03-31,Karnataka,26227,22158,381,44071
2020-03-31,Tamil Nadu,48454,41387,1679,62866
2020-03-31,Gujarat,17905,14640,843,31806
2020-04-01,Maharashtra,46000,37923,1255,60419
